#X		#Y		#Wave		#Intensity
-17726.330372	4871.281375	1723.269531	12494.415039
-17726.330372	4871.281375	1722.290039	12644.981445
-17726.330372	4871.281375	1721.309570	12821.175781
-17726.330372	4871.281375	1720.330078	12568.734375
-17726.330372	4871.281375	1719.349609	12698.961914
-17726.330372	4871.281375	1718.369141	12706.738281
-17726.330372	4871.281375	1717.388672	12553.888672
-17726.330372	4871.281375	1716.408203	12681.490234
-17726.330372	4871.281375	1715.426758	12862.560547
-17726.330372	4871.281375	1714.445313	12740.339844
-17726.330372	4871.281375	1713.464844	12990.110352
-17726.330372	4871.281375	1712.482422	12717.629883
-17726.330372	4871.281375	1711.500977	13015.690430
-17726.330372	4871.281375	1710.519531	13074.299805
-17726.330372	4871.281375	1709.537109	12835.046875
-17726.330372	4871.281375	1708.554688	12914.025391
-17726.330372	4871.281375	1707.572266	13036.230469
-17726.330372	4871.281375	1706.589844	13143.122070
-17726.330372	4871.281375	1705.607422	13117.700195
-17726.330372	4871.281375	1704.624023	13107.544922
-17726.330372	4871.281375	1703.640625	13166.042969
-17726.330372	4871.281375	1702.657227	13051.648438
-17726.330372	4871.281375	1701.673828	13150.798828
-17726.330372	4871.281375	1700.690430	13323.604492
-17726.330372	4871.281375	1699.706055	13150.801758
-17726.330372	4871.281375	1698.721680	13272.732422
-17726.330372	4871.281375	1697.737305	13364.136719
-17726.330372	4871.281375	1696.752930	13254.902344
-17726.330372	4871.281375	1695.768555	13310.727539
-17726.330372	4871.281375	1694.783203	13579.744141
-17726.330372	4871.281375	1693.797852	13579.649414
-17726.330372	4871.281375	1692.812500	13607.462891
-17726.330372	4871.281375	1691.827148	13559.160156
-17726.330372	4871.281375	1690.841797	13673.197266
-17726.330372	4871.281375	1689.855469	13531.072266
-17726.330372	4871.281375	1688.870117	13416.887695
-17726.330372	4871.281375	1687.883789	13647.482422
-17726.330372	4871.281375	1686.897461	13622.017578
-17726.330372	4871.281375	1685.910156	13528.146484
-17726.330372	4871.281375	1684.923828	13563.511719
-17726.330372	4871.281375	1683.936523	13829.349609
-17726.330372	4871.281375	1682.949219	13748.149414
-17726.330372	4871.281375	1681.961914	13530.258789
-17726.330372	4871.281375	1680.974609	13838.974609
-17726.330372	4871.281375	1679.986328	13742.628906
-17726.330372	4871.281375	1678.998047	13760.185547
-17726.330372	4871.281375	1678.010742	13638.589844
-17726.330372	4871.281375	1677.021484	14065.916992
-17726.330372	4871.281375	1676.033203	13967.065430
-17726.330372	4871.281375	1675.044922	13898.590820
-17726.330372	4871.281375	1674.055664	14047.541016
-17726.330372	4871.281375	1673.066406	14059.950195
-17726.330372	4871.281375	1672.077148	14130.471680
-17726.330372	4871.281375	1671.087891	14044.326172
-17726.330372	4871.281375	1670.097656	13998.627930
-17726.330372	4871.281375	1669.108398	13952.944336
-17726.330372	4871.281375	1668.118164	14023.423828
-17726.330372	4871.281375	1667.127930	14093.873047
-17726.330372	4871.281375	1666.136719	13927.043945
-17726.330372	4871.281375	1665.146484	13934.395508
-17726.330372	4871.281375	1664.155273	14148.622070
-17726.330372	4871.281375	1663.164063	13941.515625
-17726.330372	4871.281375	1662.172852	14085.038086
-17726.330372	4871.281375	1661.181641	13847.764648
-17726.330372	4871.281375	1660.189453	14434.931641
-17726.330372	4871.281375	1659.198242	14187.597656
-17726.330372	4871.281375	1658.206055	14225.112305
-17726.330372	4871.281375	1657.213867	14348.272461
-17726.330372	4871.281375	1656.220703	14116.208984
-17726.330372	4871.281375	1655.228516	14324.965820
-17726.330372	4871.281375	1654.235352	14324.646484
-17726.330372	4871.281375	1653.242188	14100.272461
-17726.330372	4871.281375	1652.249023	14346.656250
-17726.330372	4871.281375	1651.255859	14107.263672
-17726.330372	4871.281375	1650.261719	14142.204102
-17726.330372	4871.281375	1649.268555	14031.232422
-17726.330372	4871.281375	1648.274414	13940.421875
-17726.330372	4871.281375	1647.280273	14194.126953
-17726.330372	4871.281375	1646.285156	14196.333008
-17726.330372	4871.281375	1645.291016	13909.488281
-17726.330372	4871.281375	1644.295898	13796.150391
-17726.330372	4871.281375	1643.300781	14157.710938
-17726.330372	4871.281375	1642.305664	14044.364258
-17726.330372	4871.281375	1641.310547	13961.199219
-17726.330372	4871.281375	1640.314453	13998.591797
-17726.330372	4871.281375	1639.318359	13855.213867
-17726.330372	4871.281375	1638.322266	14035.675781
-17726.330372	4871.281375	1637.326172	13796.984375
-17726.330372	4871.281375	1636.330078	13974.874023
-17726.330372	4871.281375	1635.333008	13811.540039
-17726.330372	4871.281375	1634.336914	13964.272461
-17726.330372	4871.281375	1633.339844	14189.657227
-17726.330372	4871.281375	1632.342773	13966.206055
-17726.330372	4871.281375	1631.344727	14121.316406
-17726.330372	4871.281375	1630.347656	14196.172852
-17726.330372	4871.281375	1629.349609	13900.191406
-17726.330372	4871.281375	1628.351563	13977.563477
-17726.330372	4871.281375	1627.353516	14022.344727
-17726.330372	4871.281375	1626.354492	14072.113281
-17726.330372	4871.281375	1625.356445	14111.847656
-17726.330372	4871.281375	1624.357422	14276.709961
-17726.330372	4871.281375	1623.358398	14301.368164
-17726.330372	4871.281375	1622.359375	14118.355469
-17726.330372	4871.281375	1621.359375	14012.958008
-17726.330372	4871.281375	1620.360352	14267.734375
-17726.330372	4871.281375	1619.360352	14267.363281
-17726.330372	4871.281375	1618.360352	14209.493164
-17726.330372	4871.281375	1617.360352	14044.168945
-17726.330372	4871.281375	1616.359375	14281.234375
-17726.330372	4871.281375	1615.358398	14270.859375
-17726.330372	4871.281375	1614.358398	14088.132813
-17726.330372	4871.281375	1613.356445	14127.746094
-17726.330372	4871.281375	1612.355469	13955.106445
-17726.330372	4871.281375	1611.354492	14099.575195
-17726.330372	4871.281375	1610.352539	14171.603516
-17726.330372	4871.281375	1609.350586	14278.536133
-17726.330372	4871.281375	1608.348633	14357.979492
-17726.330372	4871.281375	1607.346680	14347.592773
-17726.330372	4871.281375	1606.343750	14339.702148
-17726.330372	4871.281375	1605.340820	14219.611328
-17726.330372	4871.281375	1604.338867	14052.203125
-17726.330372	4871.281375	1603.334961	14061.818359
-17726.330372	4871.281375	1602.332031	14303.168945
-17726.330372	4871.281375	1601.328125	14392.448242
-17726.330372	4871.281375	1600.325195	14411.947266
-17726.330372	4871.281375	1599.321289	14369.176758
-17726.330372	4871.281375	1598.317383	14079.931641
